Taxon,RL,A,B,R,AL,BM,NV,SV,PA,V,nT,oT,S,K,St,O,N,W,B_duplicated_0,VA,Areal,LD
Blassrote Schafgarbe,,,,,,,,,,,,,,,,,,,,,,
Achillea setacea,EN,2,-2,-2,,●,,,●,,,,,,,–,●,†,●,,Euras,S
(A. millefolium agg.),,,,,,,,,,,,,,,,,,,,,,
Feinblättrige Schafgarbe,,,,,,,,,,,,,,,,,,,,,,
Achillea styriaca ined.,G,1,?,?,●,●,,,,,,,●,,●,,●,,,,Eur,S
(A. millefolium agg.),,,,,,,,,,,,,,,,,,,,,,
Steirische Schafgarbe,,,,,,,,,,,,,,,,,,,,,,
Achnatherum calamagrostis,LC,3,0,0,●,,,,n,●,●,●,●,●,●,●,●,u,,,Eur,S
Raugras,,,,,,,,,,,,,,,,,,,,,,
Achnatherum virescens,NT,2,0,-1,n,,,,●,,,,,,,le,●,,●,,Euras,S
"Syn. Oryzopsis virescens, Piptatherum virescens",Im Weinviertel (Niederösterreich) gefährdet. Die Vorkommen in den nordöstlichen Kalkalpen Ober- und Niederösterreichs beruhen auf Verschleppung und Einbürgerung.,,,,,,,,,,,,,,,,,,,,,
Grannenhirse,,,,,,,,,,,,,,,,,,,,,,
Acinos → Ziziphora,,,,,,,,,,,,,,,,,,,,,,
Aconitum anthora,VU,2,-1,-1,●,●,,,,,,,,,●,?,●,,,,Euras,S
Gegengift-Eisenhut,,,,,,,,,,,,,,,,,,,,,,
Aconitum degenii subsp. paniculatum,LC,2,0,0,●,,,,,●,●,●,●,●,●,●,,,,,Eur,S
Inkl. subsp. rhaeticum,,,,,,,,,,,,,,,,,,,,,,
(A. variegatum agg.),,,,,,,,,,,,,,,,,,,,,,
Rispen-Eisenhut,,,,,,,,,,,,,,,,,,,,,,
Aconitum lycoctonum subsp. lupicida ined.,LC,2,0,0,●,,,,,●,●,●,,●,●,,,,,,Eur,S
Syn. A. lupicida,,,,,,,,,,,,,,,,,,,,,,
Südlicher Wolfs-Eisenhut,,,,,,,,,,,,,,,,,,,,,,
Aconitum lycoctonum subsp. lycoctonum,LC,4,0,0,●,VU,●,VU,VU,●,●,●,●,●,●,●,●,●,●,,Eur (Euras),S
Syn. A. lycoctonum s.str.,,,,,,,,,,,,,,,,,,,,,,
Gewöhnlicher Wolfs-Eisenhut,,,,,,,,,,,,,,,,,,,,,,
Aconitum napellus subsp. compactum,LC,2,0,0,●,,,,,●,●,,,,,,,,,,Eur,S
Syn. A. napellus subsp. vulgaris auct.,Vgl. Seitz (1969).,,,,,,,,,,,,,,,,,,,,,
(A. napellus agg.),,,,,,,,,,,,,,,,,,,,,,
Dichtblütiger Blauer Eisenhut,,,,,,,,,,,,,,,,,,,,,,
Aconitum napellus subsp. formosum,DD,?,?,?,●,,,,,?,?,,●,,?,?,?,,,S,E-Alp,S
(A. napellus agg.),Vgl. Seitz (1969). Taxonomische Selbstständigkeit und Verbreitung ungeklärt.,,,,,,,,,,,,,,,,,,,,,
Schöner Blauer Eisenhut,,,,,,,,,,,,,,,,,,,,,,
Aconitum napellus subsp. lusitanicum,LC,3,0,0,●,EN,VU,EN,VU,●,●,,●,,●,●,●,,,,Eur (Euras),S
Inkl. subsp. neomontanum (subsp. napellus sensu Starmühlner) und subsp. lobelii,,,,,,,,,,,,,,,,,,,,,,
(A. napellus agg.),,,,,,,,,,,,,,,,,,,,,,
Gewöhnlicher Blauer Eisenhut,,,,,,,,,,,,,,,,,,,,,,
Aconitum pilipes,LC,2,0,0,●,,,,,●,●,●,●,●,●,,,,,,E-Alp,S
(A. variegatum agg.),Der taxonomische Wert dieser Sippe ist fraglich. Hybriden A. degenii × A. variegatum?,,,,,,,,,,,,,,,,,,,,,
Raustieliger Eisenhut,,,,,,,,,,,,,,,,,,,,,,
Aconitum plicatum,?,,,,,?,,,,,,,,,,?,,,,,Eur,S
(A. napellus agg.),Ob eine historische Angabe aus dem Böhmerwald österreichisches Gebiet betrifft ist unklar.,,,,,,,,,,,,,,,,,,,,,
Sudeten-Eisenhut,,,,,,,,,,,,,,,,,,,,,,
Aconitum tauricum,LC,3,0,0,●,,,,,,●,●,●,●,●,●,,,,,Eur,S
Inkl. subsp. latemarense,,,,,,,,,,,,,,,,,,,,,,
(A. napellus agg.),,,,,,,,,,,,,,,,,,,,,,
Tauern-Eisenhut,,,,,,,,,,,,,,,,,,,,,,
Aconitum variegatum s.str.,LC,4,0,0,●,VU,VU,CR,EN,●,●,●,●,●,●,●,●,,●,,Eur,S
Inkl. subsp. nasutum,,,,,,,,,,,,,,,,,,,,,,
(A. variegatum agg.),,,,,,,,,,,,,,,,,,,,,,
Bunter Eisenhut,,,,,,,,,,,,,,,,,,,,,,
Acorus calamus,n,,,,,,,,,le,le,u,e,e,e,e,e,e,e,,,S
Kalmus,,,,,,,,,,,,,,,,,,,,,,
Actaea europaea,RE,†,†,†,,RE,,,,,,,,,,,†,,,,Eur,S
Syn. Cimicifuga europaea,Ehemals in feuchten Laubwäldern im Thayatal bei Hardegg. Der letzte Nachweis stammt aus dem Jahr 1962.,,,,,,,,,,,,,,,,,,,,,
Wanzenkraut,,,,,,,,,,,,,,,,,,,,,,
Actaea spicata,LC,5,-1,0,●,●,●,●,VU,●,●,●,●,●,●,●,●,●,●,,Euras,S
Christophskraut,,,,,,,,,,,,,,,,,,,,,,
