Taxon,RL,A,B,R,AL,BM,NV,SV,PA,V,nT,oT,S,K,St,O,N,W,B_duplicated_0,VA,Areal,LD
"Inkl. ""subsp. carpatica"" und ""subsp. czerepanovii""",Vgl. dazu auch Franz & Temsch (2019) und Kuneš & al. (2019). Die Vorkommen in Mooren sind stark gefährdet. Hybriden mit B. pendula sind häufig.,,,,,,,,,,,,,,,,,,,,,
"Flaum-Birke, Moor-B.",,,,,,,,,,,,,,,,,,,,,,
Bidens cernua,VU,3,-2,-2,EN,●,●,EN,EN,†,●,●,●,●,●,●,●,●,●,,Hol,H
Nickender Zweizahn,Massiver Rückgang durch Habitatzerstörung und veränderte Teichbewirtschaftung. Gegenläufiger Trend auf den Schlammbänken des Inn.,,,,,,,,,,,,,,,,,,,,,
Bidens frondosa,n,,,,,,,,,u,u,,e,le,e,e,e,e,e,,,H
Schwarzfrüchtiger Zweizahn,,,,,,,,,,,,,,,,,,,,,,
Bidens radiata,EN,2,-1,-2,,●,,n,●,–,,,,,e,●,●,u,–,,Euras,H
"Großer Zweizahn, Strahlen-Z.",Wegen Umstellung der Teichbewirtschaftung rückläufig.,,,,,,,,,,,,,,,,,,,,,
Bidens tripartita,NT,4,-2,-2,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras (Kosm),H
Dreiteiliger Zweizahn,Im westlichen Alpengebiet stark gefährdet. In den Auen Verdrängung durch Bidens frondosa.,,,,,,,,,,,,,,,,,,,,,
Bifora radians,LC,3,+1,0,n,n,n,●*,●*,u,u,,u,u,u,u,●*,●*,●*,,Eur,H
Stinkkoriander,,,,,,,,,,,,,,,,,,,,,,
Biscutella laevigata subsp. austriaca,LC,3,0,0,●,,EN,,VU,,,,,,●,●,●,●*,●,S,Eur,S
Österreichisches Brillenschötchen,,,,,,,,,,,,,,,,,,,,,,
Biscutella laevigata subsp. kerneri,EN,1,-1,-1,,●,,,●,,,,,,,u,●,,,S,Eur,S
Kerner-Brillenschötchen,"Subendemit. Die Abgrenzung von subsp. austriaca ist schwierig und der taxonomische Wert fraglich (Ch. König, pers. Mitt.).",,,,,,,,,,,,,,,,,,,,,
Biscutella laevigata subsp. laevigata,LC,4,0,0,●,,G,,,●,●,●,●,●,●,●,,,,,Eur,S
Gewöhnliches Brillenschötchen,,,,,,,,,,,,,,,,,,,,,,
Bistorta officinalis,NT,4,-2,-2,●,●,EN,VU,RE,●,●,●,●,●,●,●,●,,●,,Hol,S
Syn. Persicaria bistorta,Im Pannonikum ehedem bei Viehhofen nächst St. Pölten (Neilreich 1859).,,,,,,,,,,,,,,,,,,,,,
Schlangen-Knöterich,,,,,,,,,,,,,,,,,,,,,,
Bistorta vivipara,LC,5,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Eur,S
Syn. Persicaria vivipara,,,,,,,,,,,,,,,,,,,,,,
Knöllchen-Knöterich,,,,,,,,,,,,,,,,,,,,,,
Blackstonia acuminata,CR,1,-1,-2,●,,,RE,●,●,,,,,†,,●,●,●,,Eur,H
(B. perfoliata agg.),"Die Trennung der beiden Blackstonia-Arten ist problematisch. Im Alpengebiet nach derzeitigem Kenntnisstand nur mehr am Neuen Rhein (Amann 2016, Harrer & al. 2021).",,,,,,,,,,,,,,,,,,,,,
Später Bitterling,,,,,,,,,,,,,,,,,,,,,,
Blackstonia perfoliata s.str.,RE,†,†,†,RE,,n,,,†,,,,,,,u,,,,Eur (Kosm),H
(B. perfoliata agg.),Die Trennung der beiden Blackstonia-Arten ist problematisch. Das letzte Mal 1948 von J. Schwimmer bei Lochau (Vorarlberg) gesammelt.,,,,,,,,,,,,,,,,,,,,,
Durchwachsener Bitterling,,,,,,,,,,,,,,,,,,,,,,
Blechnum spicant → Struthiopteris,,,,,,,,,,,,,,,,,,,,,,
Blitum bonus-henricus,LC,5,-1,-1,●,VU,EN,EN,CR,●,●,●,●,●,●,●,●,●,●,,Eur,S
Syn. Chenopodium bonus-henricus,"In den Tieflagen des Alpengebiets gefährdet, in den dörflichen Ruderalgesellschaften heute nur mehr selten.",,,,,,,,,,,,,,,,,,,,,
Guter Heinrich,,,,,,,,,,,,,,,,,,,,,,
Blitum virgatum,EN,1,-1,-1,●,n,n,n,n,u,●,●,●,●,u,u,u,u,,,Euras (Hol),H
Syn. Chenopodium foliosum,,,,,,,,,,,,,,,,,,,,,,
Durchblätterter Erdbeerspinat,,,,,,,,,,,,,,,,,,,,,,
Blysmus compressus,LC,4,-1,-1,●,RE?,CR,,EN,●,●,●,●,●,●,●,●,●,●,,Euras,S
Qulellbinse,Im Pannonikum in jüngerer Zeit nur subruderal.,,,,,,,,,,,,,,,,,,,,,
Bolboschoenus laticarpus,G,2,?,?,n,●*,●*,,●,,,,,,,●,●,?,,,Euras,S
(B. maritimus agg.),,,,,,,,,,,,,,,,,,,,,,
Breitfrüchtige Knollenbinse,,,,,,,,,,,,,,,,,,,,,,
Bolboschoenus maritimus s.str.,EN,2,-2,-2,CR*,,RE?*,,●,,●*,,,●*,,u,●,●,●,,Kosm,S
(B. maritimus agg.),,,,,,,,,,,,,,,,,,,,,,
Strand-Knollenbinse,,,,,,,,,,,,,,,,,,,,,,
Bolboschoenus planiculmis,G,2,?,?,●*,,●*,,●,,,,u,?,,●*,●,●,●,,Euras,S
(B. maritimus agg.),,,,,,,,,,,,,,,,,,,,,,
Platthalm-Knollenbinse,,,,,,,,,,,,,,,,,,,,,,
Bolboschoenus yagara,EN,2,-2,-1,G,G,G*,●,G,,,,,●,●,●*,●,●,,,Euras,S
(B. maritimus agg.),,,,,,,,,,,,,,,,,,,,,,
Yagara-Knollenbinse,,,,,,,,,,,,,,,,,,,,,,
Bombycilaena erecta,RE,†,†,†,,,,,RE,,,,,,,,†,u,,,Eur,H
Falzblume,"Ehemals ""Auf kalkschotterigen trockenen Aeckern"" im südlichen Wiener Becken (Neilreich 1859). Vermutlich schon Ende des 19. Jhdts. ausgestorben.",,,,,,,,,,,,,,,,,,,,,
Bothriochloa ischaemum,LC,3,0,0,●,VU,EN,●,●,"†,u",●,●,u,●,●,●,●,●,●,,Euras,S
Bartgras,An Primärstandorten im Rückgang. Neuerdings breitet sich die Art an Straßenrändern aus.,,,,,,,,,,,,,,,,,,,,,
Botrychium lanceolatum,VU,1,0,-1,●,,,,,,●,●,●,†?,,,,,,,Hol,S
Lanzett-Rautenfarn,"Rezent sind nur wenige, individuenarme Vorkommen bekannt. Die Art ist schwierig zu finden und der Rückgang standortsbedingt als höchstens gering einzuschätzen.",,,,,,,,,,,,,,,,,,,,,
Botrychium lunaria,LC,4,0,0,●,CR,CR,RE,CR,●,●,●,●,●,●,●,●,●,●,,Kosm,S
"Mond-Rautenfarn, Mondraute",Außeralpine (Tieflagen-)Vorkommen großteils hochgradig gefährdet.,,,,,,,,,,,,,,,,,,,,,
Botrychium matricariifolium,EN,1,-1,-1,●,CR,,RE,,†,●,●,●,●,●,●,●,,–,,Kosm,S
Ästiger Rautenfarn,,,,,,,,,,,,,,,,,,,,,,
Botrychium multifidum,CR,1,-2,-1,●,,,RE,,,●,●,●,●,●,?,●,,,,Hol,S
Vielzipfliger Rautenfarn,Sehr seltene Art bodensaurer Magerrasen mit Schwerpunkt in den östlichen Zentralalpen.,,,,,,,,,,,,,,,,,,,,,
Botrychium simplex s.lat.,EN,1,-1,-1,●,,,,,●,●,●,●,,●,,,,,,Hol,S
Inkl. B. tenebrosum,"Art der FFH-Richtlinie, Anhang II und IV. Sehr selten, aber teilweise auch individuenreiche Vorkommen an Sekundärstandorten. Aufbauend auf Dauphin & al. (2017), unterscheiden Bendel & Alsaker (2021) für die Alpen neben B. simplex s.str. noch B. tenebrosum. Dieses wächst nach O. Stöhr (in Vorbereitung, bestätigt von K. Horn) in Osttirol; aus dem übrigen Österreich ist bisher nach Horn (pers. Mitt.) nur B. simplex s.str. bekannt. Diese Sippen erfordern jedoch noch weitere Untersuchungen.",,,,,,,,,,,,,,,,,,,,,
Einfacher Rautenfarn,,,,,,,,,,,,,,,,,,,,,,
Botrychium virginianum,VU,2,-1,0,●,,,,,,†?,●,●,●,●,●,●,,,,Kosm,S
Virginischer Rautenfarn,"In Nordtirol und Salzburg trotz Nachsuche rezent nicht mehr bestätigt, im südlichen Osttirol und in Südkärnten teilweise individuenreiche Bestände in Feucht- und Hangwäldern.",,,,,,,,,,,,,,,,,,,,,
Brachypodium pinnatum s.str.,LC,5,-1,-1,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras,S
(B. pinnatum agg.),,,,,,,,,,,,,,,,,,,,,,
Fieder-Zwenke,,,,,,,,,,,,,,,,,,,,,,
Brachypodium rupestre,LC,4,0,0,●,n,G*,●,n,●,●,●,●,●,●,●,e,e,●,,Eur,S
Inkl. subsp. caespitosum,,,,,,,,,,,,,,,,,,,,,,
(B. pinnatum agg.),,,,,,,,,,,,,,,,,,,,,,
Felsen-Zwenke,,,,,,,,,,,,,,,,,,,,,,
Brachypodium sylvaticum,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras,S
Wald-Zwenke,,,,,,,,,,,,,,,,,,,,,,
Brassica rapa,n,,,,,,,,,e?,e?,u,e?,e?,e?,u,u,u,u,,,H
"Rübsen, Rüben-Kohl",,,,,,,,,,,,,,,,,,,,,,
Braya alpina,VU,2,-1,-1,●,,,,,,●,●,●,●,,,,,,S,E-Alp,S
Breitschote,"Konkurrenzschwache Art mit starken Bestandesschwankungen, aber mit subruderaler Tendenz. Oft nur kleine Bestände, Fundorte teilweise rezent nicht mehr bestätigt.",,,,,,,,,,,,,,,,,,,,,
Briza media,LC,5,-2,-2,●,NT,VU,VU,VU,●,●,●,●,●,●,●,●,●,●,,Eur (Hol),S
Gewöhnliches Zittergras,,,,,,,,,,,,,,,,,,,,,,
Bromus arvensis,RE?,†?,†?,†?,"RE, n","RE, n","RE?, n","RE?, n","RE?, n",†,"†,u",†,u,"†,u",†?,†?*,†?,"†,u",†?,,Euras (Hol),H
Inkl. subsp. segetalis,"Ehedem segetal, heute vielleicht nur mehr aus Ansaaten.",,,,,,,,,,,,,,,,,,,,,
Acker-Trespe,,,,,,,,,,,,,,,,,,,,,,
Bromus benekenii,LC,4,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Eur,S
(B. ramosus agg.),,,,,,,,,,,,,,,,,,,,,,
"Kleine Wald-Trespe, Raue T.",,,,,,,,,,,,,,,,,,,,,,
Bromus carinatus s.str.,n,,,,,,,,,u,u,,u,u,e,u,?,u,,,,S
Kiel-Trespe,,,,,,,,,,,,,,,,,,,,,,
Bromus commutatus,LC,2,+1,0,●*,●*,●,●,●,●,●,u,e,u,●,●*,●,●,●,,Eur (Kosm),H
(B. racemosus agg.),Auch in Ansaaten.,,,,,,,,,,,,,,,,,,,,,
Verwechselte Trespe,,,,,,,,,,,,,,,,,,,,,,
Bromus erectus s.str.,LC,5,-2,-2,●,VU,VU,●,●,●,●,●,●,●,●,●,●,●,●,,Eur (Kosm),S
(B. erectus agg.),"Auch Ansaaten unbekannter Herkunft einschließlich des ähnlichen B. riparius, Introgressionen sind möglich (P. Englmaier, pers. Mitt.).",,,,,,,,,,,,,,,,,,,,,
Aufrechte Trespe,,,,,,,,,,,,,,,,,,,,,,
Bromus hordeaceus subsp. hordeaceus,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras (Kosm),H
"Eigentliche Flaum-Trespe, Weiche T.",Auch in Ansaaten.,,,,,,,,,,,,,,,,,,,,,
Bromus hordeaceus subsp. thominei,G,1,?,?,,,,,●,,?,,,,,,,,●,,Eur,H
Strand-Flaum-Trespe,Nur im Neusiedlersee-Gebiet; anderswo nur die adventive subsp. pseudothominei.,,,,,,,,,,,,,,,,,,,,,
Bromus inermis,LC,5,+1,0,●,●,●,●*,●,e,e,e,e,e,●,●*,●,●,●,,Hol,S
Wehrlose Trespe,Sicher einheimisch nur im pannonischen Gebiet und seinen Randlagen.,,,,,,,,,,,,,,,,,,,,,
Bromus japonicus,LC,3,+1,0,n,VU,n,n,●,u,e,u,e,u,e,e,●,●,●,,Euras (Hol),H
Inkl. var. transsilvanicus,In der Böhmischen Masse abseits des östlichsten Randes nur adventiv.,,,,,,,,,,,,,,,,,,,,,
Hänge-Trespe,,,,,,,,,,,,,,,,,,,,,,
Bromus pannonicus,EN,1,-1,-1,●,,,,CR,,,,,,●,,●,,●,,Eur,S
(B. erectus agg.),,,,,,,,,,,,,,,,,,,,,,
Ungarische Trespe,,,,,,,,,,,,,,,,,,,,,,
Bromus racemosus s.str.,CR,1,-2,-2,●,,"RE, n",●,●,–,–,–,u,u,●,●*,●,●,●,,Eur (Kosm),H
(B. racemosus agg.),"Art feuchter Wiesen tieferer Lagen, durch landschaftliche Intensivierung in starkem Rückgang.",,,,,,,,,,,,,,,,,,,,,
Trauben-Trespe,,,,,,,,,,,,,,,,,,,,,,
Bromus ramosus s.str.,LC,3,0,0,●,CR,EN,VU,VU,●,●,,●,●,●,●,●,●,●,,Eur,S
(B. ramosus agg.),,,,,,,,,,,,,,,,,,,,,,
"Große Wald-Trespe, Ästige T.",,,,,,,,,,,,,,,,,,,,,,
Bromus riparius,n,,,,,,,,,,,,u,,,le?,,,,,,S
Ufer-Trespe,,,,,,,,,,,,,,,,,,,,,,
Bromus secalinus,EN,2,-3,-1,"RE, n",CR,CR,●,CR,"†,u","†,u",†,"†,u",†,●,●,●,●,●,,Euras,H
Roggen-Trespe,"Inkl. subsp. decipiens (vgl. Englmaier & Wilhalm 2018). Die Nominatsippe ehemals gefürchtetes Ackerbeikraut, heute fast österreichweit verschwunden. Neuerdings entlang von Straßen und auf Dämmen angesät und adventiv.",,,,,,,,,,,,,,,,,,,,,
Bromus squarrosus,EN,1,-1,-1,n,,n,,●,,●,,e,u,u,u,●,●,●,,Euras (Hol),H
Sparrige Trespe,,,,,,,,,,,,,,,,,,,,,,
Bromus sterilis,LC,4,+1,0,●,●,●,●,●,●,e,●,e,●,●,●,●,●,●,,Euras (Kosm),H
"Taube Trespe, Ruderal-T.",,,,,,,,,,,,,,,,,,,,,,
Bromus tectorum,LC,4,+1,0,●,●,●,●,●,●,●,●,e,●,●,●,●,●,●,,Euras (Kosm),H
Dach-Trespe,,,,,,,,,,,,,,,,,,,,,,
Brunnera macrophylla,n,,,,,,,,,u,u,u,u,u,le,u,u,u,u,,,S
Kaukasusvergissmeinnicht,,,,,,,,,,,,,,,,,,,,,,
Bryonia alba,LC,3,0,0,VU,●,RE?,VU,●,u,u,u,u,●,●,u,●,†,●,,Eur (Hol),S
Schwarzfrüchtige Zaunrübe,,,,,,,,,,,,,,,,,,,,,,
Bryonia dioica,LC,3,0,-1,EN,EN,EN,RE,●,,u,–,,●,†,●,●,●,●,,Eur,S
Rotfrüchtige Zaunrübe,"Abgesehen vom niederösterreichischen Alpenostrand im Alpengebiet nur im Klagenfurter Becken und im Lavanttal mit unbeständigen und anscheinend auch archäophytischen Vorkommen (Hartl & al. 1992), die möglicherweise verschollen sind.",,,,,,,,,,,,,,,,,,,,,
Buddleja davidii,n,,,,,,,,,e,e,le,e,e,e,e,e,e,e,,,S
Sommerflieder,,,,,,,,,,,,,,,,,,,,,,
Buglossoides arvensis agg.,LC,4,-1,0,VU,NT,NT,VU,●,"†*,u",●,●,●,●,●,●,●,●,●,,Euras (Kosm),H
"AGr. Acker-Rindszunge, A.-Steinsame",,,,,,,,,,,,,,,,,,,,,,
Buglossoides arvensis s.str.,G,?,?,?,●,●,●,DD,●,"†*,u",●,●,●,●,●,●,●,●,●,,Euras (Kosm),H
Acker-Rindszunge,"Bestimmungskritische Sippe, deren Verbreitung und Gefährdungssituation für Österreich noch zu klären ist.",,,,,,,,,,,,,,,,,,,,,
Buglossoides incrassata subsp. splitgerberi,NT,3,-1,0,n,DD,n,DD,●,,,,u,,,u,●,●,●,,Eur,H
Syn. B. incrassata subsp. leithneri,,,,,,,,,,,,,,,,,,,,,,
Splitgerbers Dickstielige Rindszunge,,,,,,,,,,,,,,,,,,,,,,
Buglossoides purpurocaerulea → Aegonychon,,,,,,,,,,,,,,,,,,,,,,
Bulbocodium vernum → Colchicum bulbocodium,,,,,,,,,,,,,,,,,,,,,,
Bunias erucago,n,,,,,,,,,u,u,u,u,u,u,e,u,u,u,,,H
Flügel-Zackenschötchen,,,,,,,,,,,,,,,,,,,,,,
Bunias orientalis,n,,,,,,,,,u,le,u,e,e,e,e,e,e,e,,,H
Orientalisches Zackenschötchen,,,,,,,,,,,,,,,,,,,,,,
Bunium bulbocastanum,n,,,,,,,,,,,,,u,,,le,u,,,,H
Erdkastanie,,,,,,,,,,,,,,,,,,,,,,
Buphthalmum salicifolium,LC,4,-1,-1,●,VU,VU,VU,VU,●,●,●,●,●,●,●,●,●,●,,Eur,S
"Rindsauge, Ochsenauge",,,,,,,,,,,,,,,,,,,,,,
Bupleurum affine,VU,2,-1,-1,EN,EN,,,●,,,,,,,,●,●,●,,Eur,H
Ungarisches Hasenohr,,,,,,,,,,,,,,,,,,,,,,
Bupleurum falcatum,NT,3,-1,-1,●,●,VU,,●,,–,,–,,●,●,●,●,●,,Euras,S
Sichel-Hasenohr,,,,,,,,,,,,,,,,,,,,,,
Bupleurum longifolium,VU,2,-1,0,●,●,,,,●,●,,●,●,●,●,●,,,,Eur,S
Inkl. subsp. vapincense,"Die Abgrenzung der für Österreich angegebenen Unterarten ist klärungsbedürftig. Sicher wächst die subsp. longifolium am Rand der Böhmischen Masse und subsp. vapincense in den Gurktaler Alpen, diese dort nur lokal und wohl stark gefährdet.",,,,,,,,,,,,,,,,,,,,,
Langblättriges Hasenohr,,,,,,,,,,,,,,,,,,,,,,
Bupleurum petraeum,LC,2,0,0,●,,,,,,,,,●,,,,,,,Alp,S
Felsen-Hasenohr,,,,,,,,,,,,,,,,,,,,,,
Bupleurum praealtum,EN,1,-1,-1,,,,,●,,,,,,,,●,†,,,Eur,H
"Hohes Hasenohr, Simsen-H.",,,,,,,,,,,,,,,,,,,,,,
Bupleurum ranunculoides,LC,2,0,0,●,,,,,●,●,,●,,●,,,,,,Eur,S
Hahnenfuß-Hasenohr,Im östlichen Alpengebiet nur lokale Vorkommen.,,,,,,,,,,,,,,,,,,,,,
Bupleurum rotundifolium,EN,2,-2,-2,●,n,RE,,●,u,u,,,u,u,"†,u",●,●,●,,Euras (Hol),H
"Durchwachsenes Hasenohr, Rundblättriges H.",,,,,,,,,,,,,,,,,,,,,,
Bupleurum stellatum,LC,1,0,0,●,,,,,●,,,,,,,,,,,Eur,S
Stern-Hasenohr,,,,,,,,,,,,,,,,,,,,,,
Bupleurum tenuissimum,EN,2,-2,-2,,,,,●,,,,,,,,†?,†,●,,Eur,H
Salz-Hasenohr,Außerhalb des Neusiedlersee-Gebiets vom Aussterben bedroht.,,,,,,,,,,,,,,,,,,,,,
Butomus umbellatus,VU,3,-2,-1,,●,●,EN,●,,,,,u,●,●,●,●,●,,Euras (Hol),S
Schwanenblume,,,,,,,,,,,,,,,,,,,,,,
Buxus sempervirens,n,,,,,,,,,u,u,u,le,,u,u,u,u,u,,,B
Buchsbaum,,,,,,,,,,,,,,,,,,,,,,
Cabomba caroliniana,n,,,,,,,,,,,,,le?,,,le?,?,,,,S
Nordamerikanische Haarnixe,,,,,,,,,,,,,,,,,,,,,,
Calamagrostis arundinacea,LC,4,0,0,●,●,VU,●,VU,●,●,●,●,●,●,●,●,●,●,,Euras,S
Wald-Reitgras,,,,,,,,,,,,,,,,,,,,,,
Calamagrostis canescens s.str.,NT,3,-1,-1,VU,●,VU,EN,●,●,†?,●,●,●,●,●,●,●,●,,Euras,S
(C. canescens agg.),Profitiert teilweise von Verbrachungsstadien der Röhrichte und Großseggenrieder. Im westlichen Alpengebiet vom Aussterben bedroht.,,,,,,,,,,,,,,,,,,,,,
Moor-Reitgras,,,,,,,,,,,,,,,,,,,,,,
Calamagrostis epigejos,LC,5,+1,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Kosm,S
Schilf-Reitgras,,,,,,,,,,,,,,,,,,,,,,
Calamagrostis pseudophragmites,VU,3,-2,-1,●,CR,EN,EN,RE,●,●,●,●,●,●,●,●,●,,,Euras,S
Ufer-Reitgras,,,,,,,,,,,,,,,,,,,,,,
Calamagrostis purpurea,VU,1,0,-1,●,,,,,,●,,,,,,●,,,,Hol,S
Syn. C. phragmitoides,Zwei aktuelle Nachweise aus Österreich: Piburger See (Tirol) und Lunzer Obersee (Niederösterreich) (Štech & al. 2020).,,,,,,,,,,,,,,,,,,,,,
(C. canescens agg.),,,,,,,,,,,,,,,,,,,,,,
Purpur-Reitgras,,,,,,,,,,,,,,,,,,,,,,
Calamagrostis varia,LC,5,0,0,●,CR,●,VU,VU,●,●,●,●,●,●,●,●,●,●,,Eur,S
Buntes Reitgras,,,,,,,,,,,,,,,,,,,,,,
Calamagrostis villosa,LC,4,0,0,●,●,CR,,,●,●,●,●,●,●,●,●,,–,,Eur,S
Woll-Reitgras,,,,,,,,,,,,,,,,,,,,,,
Calamintha → Clinopodium,,,,,,,,,,,,,,,,,,,,,,
Caldesia parnassifolia,RE,†,†,†,RE,,RE,RE,,,,,,†,†,†,,,,,Kosm,S
Herzlöffel,"Art der FFH-Richtlinie, Anhang II und IV. In Kleingewässern. In Österreich um die Mitte des 20. Jhdts. ausgestorben, zuletzt im Ibmer Moor (Hohla & al. 2009).",,,,,,,,,,,,,,,,,,,,,
Calepina irregularis,n,,,,,,,,,,,,,,u,u,u,,le,,,H
Wendich,,,,,,,,,,,,,,,,,,,,,,
Calla palustris,VU,3,-2,-1,●,EN,EN,CR,,●,●,†,●,●,●,●,●,,,,Hol,S
Drachenwurz,Mit Ausnahme der Böhmischen Masse nur geringe Arealverluste. Viele oft kleine Vorkommen. Die zahlreichen angesalbten Vorkommen sind vielfach wieder stark rückläufig.,,,,,,,,,,,,,,,,,,,,,
Callianthemum anemonoides,LC,2,0,0,●,,,,,,,,,,●,●,●,,,E,NE-Alp!,S
Anemonen-Schmuckblume,,,,,,,,,,,,,,,,,,,,,,
Callianthemum coriandrifolium,LC,2,0,0,●,,,,,,●,●,●,●,●,●,,,,,Eur,S
Koriander-Schmuckblume,,,,,,,,,,,,,,,,,,,,,,
Callitriche cophocarpa,LC,3,0,0,●,●,●,●,●,●,●,?,●,●,●,●,●,●,●,,Euras,H
(C. palustris agg.),,,,,,,,,,,,,,,,,,,,,,
Stumpffrüchtiger Wasserstern,,,,,,,,,,,,,,,,,,,,,,
Callitriche hamulata,VU,2,-1,-1,EN,●,EN,EN,CR,●,●,–,●,–,●,●,●,?,●,,Eur,H
(C. palustris agg.),"Verbreitung in Österreich unzureichend bekannt, Schwerpunkt in der Böhmischen Masse.",,,,,,,,,,,,,,,,,,,,,
Haken-Wasserstern,,,,,,,,,,,,,,,,,,,,,,
Callitriche obtusangula,n,,,,,,,,,,,,,,,e,e,e,,,,H
(C. palustris agg.),,,,,,,,,,,,,,,,,,,,,,
Nussfrüchtiger Wasserstern,,,,,,,,,,,,,,,,,,,,,,
Callitriche palustris s.str.,LC,3,0,0,●,●,●,VU,VU,●,●,●,●,●,●,●,●,●,●,,Kosm,H
(C. palustris agg.),,,,,,,,,,,,,,,,,,,,,,
Sumpf-Wasserstern,,,,,,,,,,,,,,,,,,,,,,
Callitriche platycarpa,LC,2,?,0,VU,VU,●,G,G,,,,●,,●,●,–,,●,,Eur,H
(C. palustris agg.),,,,,,,,,,,,,,,,,,,,,,
Flachfrüchtiger Wasserstern,,,,,,,,,,,,,,,,,,,,,,
Callitriche stagnalis,LC,2,0,0,G,●,NT,,,●,?,–,,–,?,●,●,,,,Kosm,H
(C. palustris agg.),,,,,,,,,,,,,,,,,,,,,,
Teich-Wasserstern,,,,,,,,,,,,,,,,,,,,,,
Calluna vulgaris,LC,5,-1,0,●,●,VU,●,VU,●,●,●,●,●,●,●,●,●,●,,Euras (Kosm),B
Besenheide,,,,,,,,,,,,,,,,,,,,,,
Caltha palustris,LC,5,-1,-1,●,●,●,●,VU,●,●,●,●,●,●,●,●,●,●,,Hol,S
Sumpfdotterblume,,,,,,,,,,,,,,,,,,,,,,
Calycocorsus stipitatus → Willemetia,,,,,,,,,,,,,,,,,,,,,,
Calystegia → Convolvulus,,,,,,,,,,,,,,,,,,,,,,
Camelina alyssum,RE,†,†,†,RE,RE,RE,RE,RE,†,†,†,†,,†,†,†,†,–,,Eur (Kosm),H
Inkl. subsp. integerrima,"Ehemals Beikraut in Leinäckern. Beide Unterarten (subsp. alyssum, subsp. integerrima) sind ausgestorben. Zuletzt 1985 von E. Sinn bei Prutz im Oberinntal beobachtet.",,,,,,,,,,,,,,,,,,,,,
(C. sativa agg.),,,,,,,,,,,,,,,,,,,,,,
Gezähnter Leindotter,,,,,,,,,,,,,,,,,,,,,,
Camelina microcarpa,NT,3,-1,-1,EN,VU,EN,EN,●,†,●,u,u,●,●,●,●,●,●,,Euras (Hol),H
Inkl. subsp. sylvestris,"Nur mehr untergeordnet segetal, vor allem in den westlichen Ländern fast ausschließlich ruderal, in Vorarlberg verschollen.",,,,,,,,,,,,,,,,,,,,,
(C. sativa agg.),,,,,,,,,,,,,,,,,,,,,,
"Kleinfrüchtiger Leindotter, Wilder L.",,,,,,,,,,,,,,,,,,,,,,
Campanula alpina,LC,3,0,0,●,,,,,,,,●,●,●,●,●,,,,Eur,S
Alpen-Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula barbata,LC,4,0,-1,●,,,,,●,●,●,●,●,●,●,●,,,,Eur,S
Inkl. subsp. strictopedunculata,,,,,,,,,,,,,,,,,,,,,,
Bart-Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula beckiana,VU,2,-1,-1,●,,,,,,,,,,?,–,●,●,,E,NE-Alp!,S
(C. rotundifolia agg.),"Endemit. Nordöstlichste Alpen, im Westen bis ins Traisental. Schwerpunkt in montanen Magerwiesen und an Waldsäumen, auch in lichten Buchenwäldern.",,,,,,,,,,,,,,,,,,,,,
Beck-Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula bononiensis,VU,2,-1,-1,,,n,CR,●,,,,u,–,,,●,●,●,,Euras,S
"Filz-Glockenblume, Bologneser G.",,,,,,,,,,,,,,,,,,,,,,
Campanula carnica,LC,1,0,0,●,,,,,,,,,●,,–,,,,,SE-Alp,S
(C. rotundifolia agg.),,,,,,,,,,,,,,,,,,,,,,
Karnische Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula cenisia,LC,1,0,0,●,,,,,●,●,,,,,,,,,,Alp,S
Mont-Cenis-Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula cervicaria,EN,2,-2,-1,CR,●,,●,●,,●,,–,●,●,u,●,,●,,Euras,S
Borsten-Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula cespitosa,LC,3,0,0,●,,VU,,,,,●,,●,●,●,●,,,,E-Alp,S
Rasige Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula cochleariifolia,LC,4,0,0,●,RE,VU,,,●,●,●,●,●,●,●,●,,,,Eur,S
"Zwerg-Glockenblume, Niedrige G.",,,,,,,,,,,,,,,,,,,,,,
Campanula gentilis,?,,,,?,,,,,,,,,,,,?,,,,Eur,S
(C. rotundifolia agg.),Die Identität des österreichischen Vorkommens (Karrer 1985) bleibt zu untersuchen.,,,,,,,,,,,,,,,,,,,,,
Fremde Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula glomerata,VU,4,-3,-2,●,EN,EN,EN,●,●,●,●,●,●,●,●,●,●,●,,Euras (Hol),S
Inkl. subsp. farinosa und subsp. serotina,Polymorphe Sippe!,,,,,,,,,,,,,,,,,,,,,
