GUID,Taxon,Synonymie,Aggregatzugehörigkeit,Taxonname deutsch,Nordtirol,Nordtirol,Nordtirol,Nordtirol,Osttirol,Osttirol,Osttirol,Osttirol,Kommentar
,,,,,RL,A,B,R,RL,A,B,R,
D1DE4D69-C775-4245-87B8-26EE57936C36,Aconitum lycoctonum subsp. lycoctonum s. lat.,syn. A. lycoctonum s. str.,,Gewöhnlicher Wolfs-Eisenhut,LC,5,0,0,LC,5,0,0,
A013BF72-7E67-4EE6-BFF3-A4BFF2476896,Aconitum lycoctonum subsp. neapolitanum,syn. A. ranunculifolium,,Hahnenfuß-Wolfs-Eisenhut,LC,3,0,0,LC,4,0,0,
A32B6E89-9B6D-4407-AE43-5B682060BD01,Aconitum napellus subsp. formosum,,A. napellus agg.,Schöner Blauer Eisenhut,LC,dd,dd,dd,-,,,,Taxonomischer Wert und Verbreitung der Unterart sind ungeklärt.
6150E999-7C97-4351-87DF-75922CF25DCE,Aconitum napellus subsp. lusitanicum,inkl. subsp. neomontanum (subsp. napellus sensu Starmühler) und subsp. lobelii,A. napellus agg.,Gewöhnlicher Blauer Eisenhut,LC,4,0,0,LC,2,0,0,
C80CDE84-4B61-4A14-8E30-3DFAFFA876A0,Aconitum pilipes,,A. variegatum agg.,Raustieliger Eisenhut,LC,3,0,0,LC,4,0,0,Der taxonomische Wert des Taxons ist ungeklärt.
06193C44-562F-49E0-830C-8003C939A4BE,Aconitum tauricum,inkl. subsp. latemarense,A. napellus agg.,Tauern-Eisenhut,LC,3,0,0,LC,5,0,0,
87CAFFC3-23A3-4310-8D89-341ED8875DA7,Aconitum variegatum s. str.,inkl. subsp. nasutum,A. variegatum agg.,Bunt-Eisenhut,LC,4,0,0,LC,4,0,0,
6A581812-4970-4FDA-9C4C-D1BE8E6F5758,Acorus calamus,,,Kalmus,e,,,,u,,,,
03B71B8D-89E8-4D9B-AF2B-12793720708D,Actaea spicata,,,Christophskraut,LC,5,0,0,LC,5,0,0,
4141CAFB-D8F2-4555-AC2F-B3255B0E20C0,Actinidia arguta,,,Scharfzähniger Strahlengriffel,-,,,,u,,,,
155B34C1-170E-4B59-A60E-D777D91DA203,Actinidia deliciosa,,,"Chinesischer Strahlengriffel, Kiwi",u,,,,-,,,,
BCE751D7-BD97-440F-ACA3-3DEB621A335E,Adenostyles alliariae,,,Grauer Alpendost,LC,5,0,0,LC,5,0,0,
6C63FCAD-F24D-40DF-9FB7-9612AD0AFAF2,Adenostyles alpina,,,"Kalk-Alpendost, Grüner A.",LC,5,0,0,LC,5,0,0,
F4111F09-175E-486B-BC44-A944ADABBE1D,Adenostyles leucophylla,,,Weißer Alpendost,LC,3,0,0,-,,,,
684E667A-CB5C-4D92-BD1A-C56E809617D3,Adonis aestivalis,,,Sommer-Adonisröschen,CR,1,-3,-3,-,,,,"NT: Ursprünglich v. a. im Großraum Innsbruck und dem Oberinntal vorkommend, ist die Art aus der Segetalflora praktisch verschwunden. Neuerdings wird sie mit Ansaaten für „Blühflächen“ ausgebracht, mit neophytischem Auftreten ist daher zu rechnen. Aktuell gibt es nur einen einzigen Fund aus dem Oberen Gericht (Pagitz et al. 2023)."
474C1AE6-E8B6-4FCC-8052-2944836E7F6B,Adonis flammea,,,Scharlach-Adonisröschen,u,,,,-,,,,NT: Die Angaben sind nicht belegt.
7567AF20-5590-47AD-A684-8FC164C3C875,Adonis microcarpa,,,Kleinfrüchtiges Adonisröschen,u,,,,-,,,,NT: Die Art kam ehemals unbeständig im Raum Innsbruck vor.
D3DCF90A-51B3-482C-9340-239C8A363F63,Adoxa moschatellina,,,Moschuskraut,LC,4,-1,0,LC,5,0,0,
7BDB242C-18AC-4750-A7E8-7104F4412B7A,Aegopodium podagraria,,,Geißfuß,LC,5,1,0,LC,5,0,0,
3C0858CB-7D6C-4511-85D5-6345B21B714F,Aesculus hippocastanum,,,Balkan-Rosskastanie,e,,,,e,,,,
19BD8BFF-02AF-4115-9713-01A9DEFB44F1,Aethionema saxatile,,,Felsen-Steintäschel,NT,3,-2,0,/,,,,"OT: Nachsuche erfolglos, Angabe wohl irrig (Stöhr et al. 2023); eine Revision des Beleges im Herbarium W ist ausständig (https://w.jacq.org/W19850008151)."
9CB2B727-98A5-40F8-A85E-A3FA9F9DB054,Aethusa cynapium subsp. cynapium,,,Acker-Hundspetersilie,LC,3,1,0,LC,3,0,0,NT: Scheint in Nordtirol wieder zuzunehmen.
61468245-4130-4C30-A3B0-85777543A9FC,Aethusa cynapium subsp. elata,,,Wald-Hundspetersilie,LC,1,0,0,LC,3,0,0,
3F5D0E0C-625A-401C-8B0D-D8968EF3E2EB,Agastache rugosa,,,Ostasiatischer Riesenysop,-,,,,u,,,,
E5C07932-58D1-4304-98E5-B4BC6D86A404,Agrimonia eupatoria,,,Echter Odermennig,LC,4,-1,-1,NT,4,-1,-2,
